Comment Location,Comment,Keywords,Location,Reason,Purpose
https://github.com/ps3mediaserver/ps3mediaserver/blob/348ff78a17ab0a207b85ce7d73a468d852011fc4/pom.xml#L85,"XXX we currently need to use an old version of JNA
 for Windows builds to work around a bug in
 JNA > 3.2.5. See here for more details:
 https://code.google.com/p/ps3mediaserver/issues/detail?id=1152",['xxx'],Build variables,External library limitation,Document workaround
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-client/pom.xml#L199,"@todo #1013:30min Fix findbugs errors in mock.
  There are issues with classes that use jcabi-aspects
  annotations and they are causing the false
  violation positives. This will be resolved when
  issue teamed/qulice#706 is closed.","['fix', 'todo']",Plugin configuration,External library limitation,Document for later fix
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-web/pom.xml#L603,"@todo #1025:30min This integration test doesn't work on Mac OSX
  at all. I tried to run it a few times and every time all tests
  fail with some sort ""timeout"" problem. I'm not sure what it
  is. Let's try to fix and enable it again.","['fix', 'todo']",Plugin configuration,External library limitation,Document for later fix
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-client/pom.xml#L191,"@todo #911:30min Fix findbugs errors in client
  Some issues may not require fixing an should be
  excluded. Filters in qulice 0.12 are broken, right
  excludes should be more granular. I think it should
  be resolved when #961 completed due to broken
  Findbugs filters in current version of Qulice","['fix', 'todo', 'broken']",Plugin configuration,External library limitation,Document for later fix
https://github.com/codice/ddf/blob/6abc58070c3ce38761070f4ef06c509dd584555e/catalog/transformer/catalog-transformer-pptx/pom.xml#L195,"TODO Big nasty hack. Should not normally embed another bundle. But we
  can't install this bundle separately in osgi because of a missing
  class in the bundle. So far, I've sent an email to
  users@servicemix.apache.org asking for input, and they created a
  ticket for it. When the next servicemix release is made, we should
  check to see if the error has been fixed, and update accordingly.
 
  This is the apache servicemix ticket:
 
  https://issues.apache.org/jira/browse/SM-2925
 
  See DDF Jira: https://codice.atlassian.net/browse/DDF-1986","['todo', 'hack']",Plugin configuration,Post-install dependency resolution,Warning for future developers
https://github.com/apache/felix/blob/437f0ee97c44ea0141c6cdaa6cdf5b200e3a5ff8/jmood/pom.xml#L104,"Current tests are (unfinished) integration tests, and need 
  to have the bundle available, so there's a chicken-egg problem there. Temporal workaround: omit tests in pom",['workaround'],Plugin configuration,External library limitation,Document workaround
https://github.com/OpenGrok/OpenGrok/blob/9ce52a219b9e5772102d1fdfcfd7c3c672a332b4/opengrok-indexer/pom.xml#L339,"needed for HTML 5 compliance (javadoc in JDK 11)
  workaround for https://github.com/jflex-de/jflex/issues/534",['workaround'],Plugin configuration,External library limitation,Document workaround
https://github.com/broadgsa/gatk-protected/blob/aa8764d6c3de146856b174a8674fa787a6311d7c/pom.xml#L268,"TODO: Currently disabled in build.xml. Here as well.
  <execution>
  <id>compile-annotations</id>
  <phase>compile</phase>
  <goals>
  <goal>compile</goal>
  </goals>
  <configuration>
  <proc>only</proc>
  </configuration>
  </execution>",['todo'],Plugin configuration,Recursive call,Warning for future developers
https://github.com/cismet/verdis/blob/c7ebb466bcbc8952a2153cae5994e289dfd47d03/pom.xml#L560,"Need to extend the analyze-dependencies configuration of cismet-parent.pom
  and exclude jersey-json and axis:jar:1.4 from unused declared dependencies.
  
  TODO: Find put why this is neecessary?!",['todo'],Plugin configuration,Recursive call,Document suboptimal implementation choice
https://github.com/apache/stanbol/blob/2fcf471b467fb84e59491f4c54ba0a95924ab04a/data/sites/dbpedia/pom.xml#L120,"TODO: I would like to add an ""unless"" constraint to the
  target that prevents execution if Maven operates in offline
  mode. However I was not able to find out how to obtain this
  information. ${settings.offline} (as noted by several
  resources) does not work.
  Until fixed builds will fail if no internetconnection is
  available!",['todo'],Plugin configuration,External library limitation,Document for later fix
https://github.com/apache/stanbol/blob/2fcf471b467fb84e59491f4c54ba0a95924ab04a/data/sites/entity-coref-dbpedia/pom.xml#L115,"TODO: I would like to add an ""unless"" constraint to the
  target that prevents execution if Maven operates in offline
  mode. However I was not able to find out how to obtain this
  information. ${settings.offline} (as noted by several
  resources) does not work.
  Until fixed builds will fail if no internetconnection is
  available!",['todo'],Plugin configuration,External library limitation,Document for later fix
