accuracy,precision,recall,f1,mae,rmse,nae,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,seed,setting,train_size,eval_size,original_eval_size,classifier,tfidf_max_features,tfidf_ngram_range,tfidf_min_df,codebert_model,codebert_max_len,codebert_epochs,codebert_learning_rate,codebert_batch_size,codebert_weight_decay,llm_eval_cap,llm_model,decoding,max_new_tokens,embedding_model,top_k,rag_index,similarity
0.925,0.9047619047619048,0.95,0.926829268292683,0.075,0.273861278752583,0.15,0.9875,0.9891666666666666,18,2,1,19,TFIDF_LR,200,13,D1_to_D1,160,40,40,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.64,0.6076923076923076,0.79,0.6869565217391305,0.36,0.6,0.72,0.70475,0.6859744174848623,49,51,21,79,TFIDF_LR,200,13,D1_to_D2,160,200,200,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.85,0.85,0.85,0.85,0.15,0.3872983346207417,0.3,0.93875,0.9492644404930932,17,3,3,17,TFIDF_LR,200,21,D1_to_D1,160,40,40,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.63,0.5833333333333334,0.91,0.7109375,0.37,0.6082762530298219,0.74,0.6996,0.7058700299851721,35,65,9,91,TFIDF_LR,200,21,D1_to_D2,160,200,200,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.825,0.782608695652174,0.9,0.8372093023255814,0.175,0.4183300132670378,0.35,0.9625,0.9729166666666668,15,5,2,18,TFIDF_LR,200,42,D1_to_D1,160,40,40,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.565,0.54421768707483,0.8,0.6477732793522267,0.435,0.6595452979136459,0.87,0.6364000000000001,0.6318122855224162,33,67,20,80,TFIDF_LR,200,42,D1_to_D2,160,200,200,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.85,0.7916666666666666,0.95,0.8636363636363636,0.15,0.3872983346207417,0.3,0.85375,0.7605048058666479,15,5,1,19,TFIDF_LR,200,87,D1_to_D1,160,40,40,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.58,0.5526315789473685,0.84,0.6666666666666666,0.42,0.648074069840786,0.84,0.67045,0.6364448672702993,32,68,16,84,TFIDF_LR,200,87,D1_to_D2,160,200,200,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.85,0.8181818181818182,0.9,0.8571428571428571,0.15,0.3872983346207417,0.3,0.94,0.9388737754333728,16,4,2,18,TFIDF_LR,200,100,D1_to_D1,160,40,40,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.625,0.5874125874125874,0.84,0.691358024691358,0.375,0.6123724356957945,0.75,0.6666,0.673573275983328,41,59,16,84,TFIDF_LR,200,100,D1_to_D2,160,200,200,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.89,0.903448275862069,0.8733333333333333,0.888135593220339,0.11,0.3316624790355399,0.22,0.9572888888888887,0.9367631699370548,136,14,19,131,TFIDF_LR,1500,13,D1_to_D1,1200,300,300,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.612,0.5850202429149798,0.7706666666666667,0.6651323360184119,0.388,0.6228964600958975,0.776,0.6629786666666666,0.65373349803979,340,410,172,578,TFIDF_LR,1500,13,D1_to_D2,1200,1500,1500,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.9166666666666666,0.8834355828220859,0.96,0.9201277955271564,0.0833333333333333,0.2886751345948128,0.1666666666666666,0.9717333333333332,0.968311437019182,131,19,6,144,TFIDF_LR,1500,21,D1_to_D1,1200,300,300,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6086666666666667,0.5817452357071213,0.7733333333333333,0.6639954207212364,0.3913333333333333,0.6255664100104267,0.7826666666666666,0.6748924444444445,0.6818956743565232,333,417,170,580,TFIDF_LR,1500,21,D1_to_D2,1200,1500,1500,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.9033333333333332,0.8805031446540881,0.9333333333333332,0.906148867313916,0.0966666666666666,0.3109126351029605,0.1933333333333333,0.9592444444444445,0.9584876095230752,131,19,10,140,TFIDF_LR,1500,42,D1_to_D1,1200,300,300,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.614,0.5908607863974495,0.7413333333333333,0.657599053814311,0.386,0.6212889826803627,0.772,0.6827502222222221,0.6812579166951374,365,385,194,556,TFIDF_LR,1500,42,D1_to_D2,1200,1500,1500,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.9133333333333332,0.8780487804878049,0.96,0.9171974522292994,0.0866666666666666,0.2943920288775949,0.1733333333333333,0.9665333333333334,0.9639184476756496,130,20,6,144,TFIDF_LR,1500,87,D1_to_D1,1200,300,300,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6346666666666667,0.6052083333333333,0.7746666666666666,0.6795321637426901,0.3653333333333333,0.6044281043543006,0.7306666666666667,0.6855422222222222,0.6769974737310913,371,379,169,581,TFIDF_LR,1500,87,D1_to_D2,1200,1500,1500,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.8866666666666667,0.8766233766233766,0.9,0.8881578947368421,0.1133333333333333,0.3366501646120692,0.2266666666666666,0.9472444444444444,0.9443405448618194,131,19,15,135,TFIDF_LR,1500,100,D1_to_D1,1200,300,300,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6166666666666667,0.5888324873096447,0.7733333333333333,0.6685878962536023,0.3833333333333333,0.6191391873668903,0.7666666666666667,0.6855102222222222,0.6810435071230927,345,405,170,580,TFIDF_LR,1500,100,D1_to_D2,1200,1500,1500,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.938,0.932806324110672,0.944,0.9383697813121272,0.062,0.2489979919597746,0.124,0.975614,0.9536544428253656,466,34,28,472,TFIDF_LR,5000,13,D1_to_D1,4000,1000,1000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6144,0.5889303482587065,0.7576,0.6627011896431071,0.3856,0.6209669878504009,0.7712,0.6790777599999999,0.6703702704639287,1178,1322,606,1894,TFIDF_LR,5000,13,D1_to_D2,4000,5000,5000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.932,0.923529411764706,0.942,0.9326732673267328,0.068,0.260768096208106,0.136,0.97869,0.9749332783933304,461,39,29,471,TFIDF_LR,5000,21,D1_to_D1,4000,1000,1000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6222,0.5997388181521385,0.7348,0.6604350170771167,0.3778,0.6146543744251723,0.7556,0.68867072,0.6834266052223554,1274,1226,663,1837,TFIDF_LR,5000,21,D1_to_D2,4000,5000,5000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.933,0.9171483622350676,0.952,0.9342492639842984,0.067,0.2588435821108957,0.134,0.977384,0.9721200306173916,457,43,24,476,TFIDF_LR,5000,42,D1_to_D1,4000,1000,1000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6274,0.6036446469248291,0.742,0.6657096716310784,0.3726,0.6104096984812741,0.7452,0.68331384,0.6749878719676028,1282,1218,645,1855,TFIDF_LR,5000,42,D1_to_D2,4000,5000,5000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.924,0.915686274509804,0.934,0.9247524752475248,0.076,0.2756809750418044,0.152,0.969918,0.9507238723851992,457,43,33,467,TFIDF_LR,5000,87,D1_to_D1,4000,1000,1000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6146,0.5924491771539206,0.7344,0.6558313984640114,0.3854,0.6208059278067503,0.7708,0.67706832,0.6693354674893354,1237,1263,664,1836,TFIDF_LR,5000,87,D1_to_D2,4000,5000,5000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.93,0.933467741935484,0.926,0.929718875502008,0.07,0.2645751311064591,0.14,0.978642,0.9787609604293972,467,33,37,463,TFIDF_LR,5000,100,D1_to_D1,4000,1000,1000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.6332,0.6105577689243028,0.7356,0.6672714078374455,0.3668,0.6056401571890688,0.7336,0.7039276800000001,0.6985137766987087,1327,1173,661,1839,TFIDF_LR,5000,100,D1_to_D2,4000,5000,5000,LogisticRegression,20000.0,1-2,2.0,,,,,,,,,,,,,,
0.75,0.6666666666666666,1.0,0.8,0.25,0.5,0.5,0.9825,0.9852380952380956,10,10,0,20,CodeBERT,200,13,D1_to_D1,160,40,40,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.825,0.782608695652174,0.9,0.8372093023255814,0.175,0.4183300132670378,0.35,0.91,0.9244651732828356,15,5,2,18,CodeBERT,200,21,D1_to_D1,160,40,40,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.535,0.5195530726256983,0.93,0.6666666666666666,0.465,0.6819090848492928,0.93,0.7230999999999999,0.7063865611408484,14,86,7,93,CodeBERT,200,21,D1_to_D2,160,200,200,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.9,0.9,0.9,0.9,0.1,0.3162277660168379,0.2,0.97,0.9762645249487356,18,2,2,18,CodeBERT,200,42,D1_to_D1,160,40,40,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.595,0.5605095541401274,0.88,0.6848249027237354,0.405,0.6363961030678927,0.81,0.6672,0.6634718237542749,31,69,12,88,CodeBERT,200,42,D1_to_D2,160,200,200,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.825,0.7407407407407407,1.0,0.851063829787234,0.175,0.4183300132670378,0.35,0.8875,0.8524051284984789,13,7,0,20,CodeBERT,200,87,D1_to_D1,160,40,40,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
0.565,0.5363128491620112,0.96,0.6881720430107527,0.435,0.6595452979136459,0.87,0.7315499999999999,0.7028324270678918,17,83,4,96,CodeBERT,200,87,D1_to_D2,160,200,200,,,,,microsoft/codebert-base,128.0,3.0,2e-05,16.0,0.01,,,,,,,,
