model,sample_size,setting,runs,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,rmse_mean,rmse_sd,rmse_ci95_low,rmse_ci95_high,nae_mean,nae_sd,nae_ci95_low,nae_ci95_high,tn_mean,tn_sd,tn_ci95_low,tn_ci95_high,fp_mean,fp_sd,fp_ci95_low,fp_ci95_high,fn_mean,fn_sd,fn_ci95_low,fn_ci95_high,tp_mean,tp_sd,tp_ci95_low,tp_ci95_high,eval_size_mean,eval_size_sd,eval_size_ci95_low,eval_size_ci95_high,original_eval_size_mean,original_eval_size_sd,original_eval_size_ci95_low,original_eval_size_ci95_high
CodeBERT,200,D1_to_D1,5,0.825,0.05303300858899107,0.7591508225186187,0.8908491774813813,0.7661513687600644,0.0856955449199709,0.6597462958264828,0.872556441693646,0.96,0.0547722557505166,0.8919912619341743,1.0280087380658256,0.8478673923800099,0.03585779321962866,0.8033440614841618,0.8923907232758579,0.9475,0.045654955919374206,0.8908118848953331,1.004188115104667,0.9450282872782918,0.05774224831444325,0.8733318163709055,1.0167247581856782,0.175,0.053033008588991064,0.10915082251861866,0.24084917748138132,0.4142435611635903,0.0652138025507912,0.3332699303503039,0.4952171919768767,0.35,0.10606601717798213,0.2183016450372373,0.48169835496276264,13.8,2.949576240750525,10.13761737190287,17.46238262809713,6.2,2.949576240750525,2.5376173719028685,9.862382628097132,0.8,1.0954451150103324,-0.560174761316514,2.1601747613165143,19.2,1.0954451150103324,17.839825238683485,20.560174761316514,40.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0
LLM_RAG,200,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,0.5,0.5,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,1.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0
Prompt_LLM,200,D1_to_D1,5,0.51,0.013693063937629165,0.49299781548354354,0.5270021845164564,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,0.02,0.02738612787525831,-0.014004369032912852,0.05400436903291285,0.038095238095238085,0.052164053095730085,-0.026674988634119698,0.10286546482459587,,,,,,,,,0.49000000000000005,0.013693063937629165,0.4729978154835436,0.5070021845164565,0.6999450437537329,0.00980661285720425,0.6877685256246202,0.7121215618828456,0.9800000000000001,0.02738612787525833,0.9459956309670872,1.014004369032913,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,19.6,0.5477225575051661,18.919912619341744,20.28008738065826,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,40.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0
TFIDF_LR,200,D1_to_D1,5,0.86,0.03791437722025778,0.8129230827912889,0.9070769172087111,0.8294438170525126,0.04960555740033838,0.767850382317682,0.8910372517873432,0.9099999999999999,0.04183300132670376,0.8580574683158214,0.9619425316841784,0.8669635582794971,0.0348729755228328,0.8236630400625544,0.9102640764964398,0.9364999999999999,0.05035343831358491,0.8739779484602473,0.9990220515397524,0.9221452710252894,0.09248315289574098,0.8073122696342734,1.0369782724163055,0.13999999999999999,0.037914377220257756,0.09292308279128894,0.18707691720871103,0.37081725917636915,0.05584084858915392,0.30148168785406915,0.44015283049866916,0.27999999999999997,0.07582875444051551,0.18584616558257788,0.37415383441742206,16.2,1.3038404810405297,14.581068215291292,17.818931784708706,3.8,1.3038404810405297,2.1810682152912935,5.418931784708706,1.8,0.8366600265340756,0.7611493663164304,2.8388506336835695,18.2,0.8366600265340756,17.16114936631643,19.23885063368357,40.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0
CodeBERT,1500,D1_to_D1,5,0.9526666666666666,0.011155467020454333,0.9388153248842189,0.9665180084491142,0.9475101994779415,0.011884957383317823,0.9327530757748896,0.9622673231809933,0.9586666666666668,0.0246756740310957,0.9280277705908436,0.9893055627424899,0.9528520867075618,0.011588324279719122,0.938463281649924,0.9672408917651997,0.9885911111111112,0.0036278960334648713,0.9840864832171317,0.9930957390050907,0.9894885613658243,0.003092508383584669,0.9856487050417839,0.9933284176898647,0.0473333333333333,0.011155467020454338,0.03348199155088571,0.061184675115780886,0.21622870852098258,0.026890494247067673,0.18283974992049315,0.24961766712147201,0.09466666666666664,0.022310934040908673,0.06696398310177146,0.12236935023156181,142.0,2.0,139.51667200359248,144.48332799640752,8.0,2.0,5.516672003592467,10.483327996407533,6.2,3.7013511046643495,1.604165588626536,10.795834411373464,143.8,3.701351104664349,139.20416558862655,148.39583441137347,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
LLM_RAG,1500,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,0.5,0.5,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,1.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
Prompt_LLM,1500,D1_to_D1,5,0.508,0.006055300708194998,0.5004813511123365,0.5155186488876635,0.7,0.4107919181288746,0.18993446450630724,1.2100655354936927,0.018666666666666658,0.011925695879998867,0.0038589594389450803,0.03347437389438823,0.03633077864576912,0.023111137380576675,0.007634511402765765,0.06502704588877248,,,,,,,,,0.492,0.006055300708194998,0.4844813511123365,0.4995186488876635,0.7014164804108105,0.004318710471734807,0.6960540930993918,0.7067788677222292,0.984,0.01211060141638994,0.9689627022246731,0.9990372977753269,149.6,0.5477225575051661,148.91991261934174,150.28008738065824,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,147.2,1.7888543819998317,144.97884391584174,149.42115608415824,2.8,1.7888543819998317,0.5788439158417611,5.021156084158239,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
TFIDF_LR,1500,D1_to_D1,5,0.9019999999999999,0.013457752825457511,0.8852899928199043,0.9187100071800955,0.8844118320898848,0.010951775607631806,0.8708134066014822,0.8980102575782875,0.9253333333333333,0.03812260921465545,0.8779978619539045,0.9726688047127622,0.9039535206055106,0.015342237977330668,0.8849036160571845,0.9230034251538367,0.9604088888888889,0.009356078106282775,0.9487917835399351,0.9720259942378426,0.9543642418033562,0.013351792920887274,0.9377858012220186,0.9709426823846938,0.09799999999999996,0.013457752825457582,0.08128999281990426,0.11471000718009566,0.31245848844459545,0.021496889278410033,0.2857665749542212,0.3391504019349697,0.19599999999999995,0.026915505650915137,0.16257998563980858,0.22942001436019133,131.8,2.3874672772626644,128.83556783493339,134.76443216506664,18.2,2.3874672772626644,15.235567834933379,21.16443216506662,11.2,5.718391382198319,4.099679293085672,18.300320706914327,138.8,5.718391382198319,131.6996792930857,145.90032070691433,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
CodeBERT,5000,D1_to_D1,5,0.9646000000000001,0.0072663608498339865,0.955577621334804,0.9736223786651963,0.9592617167246388,0.004620260189726822,0.9535249059847208,0.9649985274645567,0.9704,0.011260550608207407,0.9564181797098373,0.9843818202901627,0.9647826794341231,0.007334417420538578,0.9556757973752418,0.9738895614930044,0.9916044000000002,0.0029699425583670906,0.9879167292485426,0.9952920707514578,0.9904567692055448,0.003594234996259315,0.9859939370096056,0.994919601401484,0.0354,0.007266360849833981,0.02637762133480382,0.04442237866519618,0.1872409915205368,0.02064010339140296,0.16161291822022827,0.21286906482084533,0.0708,0.014532721699667963,0.05275524266960764,0.08884475733039236,479.4,2.302172886644268,476.5414748090129,482.25852519098703,20.6,2.3021728866442674,17.741474809012974,23.45852519098703,14.8,5.630275304103699,7.809089854918676,21.790910145081327,485.2,5.630275304103699,478.20908985491866,492.1909101450813,1000.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0
LLM_RAG,5000,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,0.5,0.5,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,1.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
