model,sample_size,setting,runs,tn_mean,fp_mean,fn_mean,tp_mean,eval_size_mean,original_eval_size_mean
CodeBERT,200,D1_to_D1,5,13.8,6.2,0.8,19.2,40.0,40.0
LLM_RAG,200,D1_to_D1,5,20.0,0.0,20.0,0.0,40.0,40.0
Prompt_LLM,200,D1_to_D1,5,20.0,0.0,19.6,0.4,40.0,40.0
TFIDF_LR,200,D1_to_D1,5,16.2,3.8,1.8,18.2,40.0,40.0
CodeBERT,1500,D1_to_D1,5,142.0,8.0,6.2,143.8,300.0,300.0
LLM_RAG,1500,D1_to_D1,5,150.0,0.0,150.0,0.0,300.0,300.0
Prompt_LLM,1500,D1_to_D1,5,149.6,0.4,147.2,2.8,300.0,300.0
TFIDF_LR,1500,D1_to_D1,5,131.8,18.2,11.2,138.8,300.0,300.0
CodeBERT,5000,D1_to_D1,5,479.4,20.6,14.8,485.2,1000.0,1000.0
LLM_RAG,5000,D1_to_D1,5,150.0,0.0,150.0,0.0,300.0,300.0
Prompt_LLM,5000,D1_to_D1,5,150.0,0.0,147.0,3.0,300.0,300.0
TFIDF_LR,5000,D1_to_D1,5,461.6,38.4,30.2,469.8,1000.0,1000.0
CodeBERT,200,D1_to_D2,5,20.8,79.2,8.4,91.6,200.0,200.0
LLM_RAG,200,D1_to_D2,5,100.0,0.0,100.0,0.0,200.0,200.0
Prompt_LLM,200,D1_to_D2,5,96.2,3.8,90.6,9.4,200.0,200.0
TFIDF_LR,200,D1_to_D2,5,38.0,62.0,16.4,83.6,200.0,200.0
CodeBERT,1500,D1_to_D2,5,307.4,442.6,148.6,601.4,1500.0,1500.0
LLM_RAG,1500,D1_to_D2,5,149.8,0.2,150.0,0.0,300.0,300.0
Prompt_LLM,1500,D1_to_D2,5,141.8,8.2,135.0,15.0,300.0,300.0
TFIDF_LR,1500,D1_to_D2,5,350.8,399.2,175.0,575.0,1500.0,1500.0
CodeBERT,5000,D1_to_D2,5,1052.0,1448.0,532.6,1967.4,5000.0,5000.0
LLM_RAG,5000,D1_to_D2,5,150.0,0.0,149.8,0.2,300.0,300.0
Prompt_LLM,5000,D1_to_D2,5,144.8,5.2,132.8,17.2,300.0,300.0
TFIDF_LR,5000,D1_to_D2,5,1259.6,1240.4,647.8,1852.2,5000.0,5000.0
