model,sample_size,setting,runs,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
CodeBERT,200,D1_to_D1,5,0.825,0.05303300858899107,0.7591508225186187,0.8908491774813813,0.7661513687600644,0.0856955449199709,0.6597462958264828,0.872556441693646,0.96,0.0547722557505166,0.8919912619341743,1.0280087380658256,0.8478673923800099,0.03585779321962866,0.8033440614841618,0.8923907232758579,0.9475,0.045654955919374206,0.8908118848953331,1.004188115104667,0.9450282872782918,0.05774224831444325,0.8733318163709055,1.0167247581856782
LLM_RAG,200,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,200,D1_to_D1,5,0.51,0.013693063937629165,0.49299781548354354,0.5270021845164564,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,0.02,0.02738612787525831,-0.014004369032912852,0.05400436903291285,0.038095238095238085,0.052164053095730085,-0.026674988634119698,0.10286546482459587,,,,,,,,
TFIDF_LR,200,D1_to_D1,5,0.86,0.03791437722025778,0.8129230827912889,0.9070769172087111,0.8294438170525126,0.04960555740033838,0.767850382317682,0.8910372517873432,0.9099999999999999,0.04183300132670376,0.8580574683158214,0.9619425316841784,0.8669635582794971,0.0348729755228328,0.8236630400625544,0.9102640764964398,0.9364999999999999,0.05035343831358491,0.8739779484602473,0.9990220515397524,0.9221452710252894,0.09248315289574098,0.8073122696342734,1.0369782724163055
CodeBERT,1500,D1_to_D1,5,0.9526666666666666,0.011155467020454333,0.9388153248842189,0.9665180084491142,0.9475101994779415,0.011884957383317823,0.9327530757748896,0.9622673231809933,0.9586666666666668,0.0246756740310957,0.9280277705908436,0.9893055627424899,0.9528520867075618,0.011588324279719122,0.938463281649924,0.9672408917651997,0.9885911111111112,0.0036278960334648713,0.9840864832171317,0.9930957390050907,0.9894885613658243,0.003092508383584669,0.9856487050417839,0.9933284176898647
LLM_RAG,1500,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,1500,D1_to_D1,5,0.508,0.006055300708194998,0.5004813511123365,0.5155186488876635,0.7,0.4107919181288746,0.18993446450630724,1.2100655354936927,0.018666666666666658,0.011925695879998867,0.0038589594389450803,0.03347437389438823,0.03633077864576912,0.023111137380576675,0.007634511402765765,0.06502704588877248,,,,,,,,
TFIDF_LR,1500,D1_to_D1,5,0.9019999999999999,0.013457752825457511,0.8852899928199043,0.9187100071800955,0.8844118320898848,0.010951775607631806,0.8708134066014822,0.8980102575782875,0.9253333333333333,0.03812260921465545,0.8779978619539045,0.9726688047127622,0.9039535206055106,0.015342237977330668,0.8849036160571845,0.9230034251538367,0.9604088888888889,0.009356078106282775,0.9487917835399351,0.9720259942378426,0.9543642418033562,0.013351792920887274,0.9377858012220186,0.9709426823846938
CodeBERT,5000,D1_to_D1,5,0.9646000000000001,0.0072663608498339865,0.955577621334804,0.9736223786651963,0.9592617167246388,0.004620260189726822,0.9535249059847208,0.9649985274645567,0.9704,0.011260550608207407,0.9564181797098373,0.9843818202901627,0.9647826794341231,0.007334417420538578,0.9556757973752418,0.9738895614930044,0.9916044000000002,0.0029699425583670906,0.9879167292485426,0.9952920707514578,0.9904567692055448,0.003594234996259315,0.9859939370096056,0.994919601401484
LLM_RAG,5000,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
