model,sample_size,setting,runs,evaluation_scope,used_eval_size,full_eval_size_reference,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
CodeBERT,200,D1_to_D1,5,Full evaluation,40,40,0.825,0.053033008588991,0.7591508225186187,0.8908491774813813,0.7661513687600644,0.0856955449199709,0.6597462958264828,0.872556441693646,0.96,0.0547722557505166,0.8919912619341743,1.0,0.8478673923800099,0.0358577932196286,0.8033440614841618,0.8923907232758579,0.9475,0.0456549559193742,0.8908118848953331,1.0,0.9450282872782918,0.0577422483144432,0.8733318163709055,1.0
LLM_RAG,200,D1_to_D1,5,Full evaluation,40,40,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,200,D1_to_D1,5,Full evaluation,40,40,0.51,0.0136930639376291,0.4929978154835435,0.5270021845164564,0.4,0.5477225575051662,0.0,1.0,0.02,0.0273861278752583,0.0,0.0540043690329128,0.038095238095238,0.05216405309573,0.0,0.1028654648245958,,,,,,,,
TFIDF_LR,200,D1_to_D1,5,Full evaluation,40,40,0.86,0.0379143772202577,0.8129230827912889,0.9070769172087112,0.8294438170525126,0.0496055574003383,0.767850382317682,0.8910372517873432,0.91,0.0418330013267037,0.8580574683158214,0.9619425316841784,0.8669635582794971,0.0348729755228328,0.8236630400625544,0.9102640764964398,0.9365,0.0503534383135849,0.8739779484602473,0.9990220515397524,0.9221452710252894,0.0924831528957409,0.8073122696342734,1.0
CodeBERT,1500,D1_to_D1,5,Full evaluation,300,300,0.9526666666666666,0.0111554670204543,0.9388153248842188,0.9665180084491142,0.9475101994779416,0.0118849573833178,0.9327530757748896,0.9622673231809932,0.9586666666666668,0.0246756740310957,0.9280277705908436,0.98930556274249,0.9528520867075618,0.0115883242797191,0.938463281649924,0.9672408917651996,0.9885911111111112,0.0036278960334648,0.9840864832171315,0.9930957390050908,0.9894885613658244,0.0030925083835846,0.985648705041784,0.9933284176898648
LLM_RAG,1500,D1_to_D1,5,Full evaluation,300,300,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,1500,D1_to_D1,5,Full evaluation,300,300,0.508,0.0060553007081949,0.5004813511123365,0.5155186488876635,0.7,0.4107919181288746,0.1899344645063072,1.0,0.0186666666666666,0.0119256958799988,0.003858959438945,0.0334743738943882,0.0363307786457691,0.0231111373805766,0.0076345114027657,0.0650270458887724,,,,,,,,
TFIDF_LR,1500,D1_to_D1,5,Full evaluation,300,300,0.902,0.0134577528254575,0.8852899928199043,0.9187100071800955,0.8844118320898848,0.0109517756076318,0.8708134066014822,0.8980102575782875,0.9253333333333332,0.0381226092146554,0.8779978619539045,0.9726688047127622,0.9039535206055106,0.0153422379773306,0.8849036160571845,0.9230034251538368,0.9604088888888888,0.0093560781062827,0.9487917835399352,0.9720259942378426,0.9543642418033562,0.0133517929208872,0.9377858012220186,0.9709426823846938
CodeBERT,5000,D1_to_D1,5,Full evaluation,1000,1000,0.9646,0.0072663608498339,0.955577621334804,0.9736223786651964,0.9592617167246388,0.0046202601897268,0.9535249059847208,0.9649985274645568,0.9704,0.0112605506082074,0.9564181797098372,0.9843818202901627,0.9647826794341232,0.0073344174205385,0.9556757973752418,0.9738895614930044,0.9916044000000002,0.002969942558367,0.9879167292485426,0.9952920707514578,0.9904567692055448,0.0035942349962593,0.9859939370096056,0.994919601401484
LLM_RAG,5000,D1_to_D1,5,"Stratified capped inference subset, max 300",300,1000,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,5000,D1_to_D1,5,"Stratified capped inference subset, max 300",300,1000,0.51,0.0066666666666666,0.5017222400119749,0.5182777599880252,1.0,0.0,1.0,1.0,0.0199999999999999,0.0133333333333333,0.0034444800239497,0.0365555199760502,0.0389495481862159,0.0254504214029908,0.0073486761910077,0.0705504201814242,,,,,,,,
TFIDF_LR,5000,D1_to_D1,5,Full evaluation,1000,1000,0.9314,0.00507937003968,0.9250931290881744,0.9377068709118256,0.9245276229111468,0.0083976481364229,0.9141005655505674,0.934954680271726,0.9396,0.0099398189118312,0.9272580847085142,0.951941915291486,0.9319527326745384,0.0050942507874424,0.92562738487395,0.9382780804751268,0.9760496,0.0036489429702312,0.9715188388823652,0.9805803611176348,0.9660385169301368,0.0129021876805593,0.950018334989118,0.9820586988711556
